,developer,release_date,price
123,30.06 Studios Ltd,2014,0.0
124,300 fps,2017,0.0
125,3000AD,2009,0.0
126,3000AD,2014,0.3333333333333333
127,3000AD,2015,0.0
128,3100 games,2016,0.0
129,313 Studios,2017,0.0
130,314 Arts,2016,0.0
131,"343 Industries,Vanguard Games",2014,0.0
132,34BigThings srl,2015,0.0
133,34BigThings srl,2016,0.0
134,34BigThings srl,2017,0.0
135,373vFS Greg,2017,0.0
136,"38,9_Degrees",2017,0.0
137,3909,2013,0.0
138,3Crew,2016,0.0
139,3D Avenue,2016,0.0
140,3D Realms,1996,1.0
141,3D Realms (Apogee Software),1991,0.0
142,3D Realms (Apogee Software),1992,0.0
143,3D Realms (Apogee Software),1993,0.0
144,3D Realms (Apogee Software),1994,0.0
145,3D Realms (Apogee Software),1995,0.0
146,3D Realms (Apogee Software),1997,0.0
147,3D2 Entertainment,2017,0.0
148,3DClouds.it,2017,0.0
149,3DDUO,2016,0.0
150,3DDUO,2017,0.0
151,3Dflow SRL,2016,0.0
152,3Division,2016,0.0
153,3GoGames,2017,0.0
154,3f Interactive,2012,0.0
155,3f Interactive,2013,0.0
156,3y3.net,2017,0.0
157,4 Door Lemon,2016,0.0
158,4 Friends Games,2017,0.0
159,4 Head Studios,2006,0.0
160,4 Head Studios,2007,0.0
161,4 I Lab,2016,0.3333333333333333
162,4 I Lab,2017,0.0
163,4-Panel Footprint,2015,0.0
164,40Ggames,2017,0.0
165,48h Studio,2014,0.0
166,49 Games,2007,0.0
167,49 Games,2008,0.0
168,4A Games,2014,0.0
169,4Bit Games,2015,0.0
170,4D Door Games,2017,0.0
171,"4EdgesGames,Visumeca",2016,0.0
172,4FreaksFiction,2017,0.0
173,4Friends Games,2015,0.0
174,4HEAD Studios,2002,0.0
175,4Head Studios,2008,0.0
176,4NetGames,2015,0.0
177,4Realms,2015,0.0
178,4SKY Game Studio,2017,0.0
179,4gency,2016,0.0
180,4sdk,2010,0.0
181,4th cluster,2016,0.0
182,4th cluster,2017,1.0
183,5 Bits Games,2014,0.0
184,5 Lives Studios,2015,0.0
185,505 Games,2013,0.0
186,51Pegasi Studios,2016,0.0
187,"51Pegasi Studios,Connor Lourenco",2017,0.0
188,55 Revolver,2016,0.0
189,5Wolf,2016,0.0
190,5d Games GmbH,2017,0.0
191,5th Cell Media,2012,0.0
192,5th Cell Media,2013,0.0
193,5th Planet Games,2017,1.0
194,651 GAMES,2017,0.0
195,68k Studios,2017,0.0
196,6L6 Interactive,2016,0.0
197,7 Generation Games,2016,0.0
198,7 Raven Studios,2016,0.0
199,7 Raven Studios,2017,0.0
200,7 Road,2016,1.0
201,7 Soft Pillows,2015,0.0
202,71Games,2017,0.0
203,773,2012,0.0
204,773,2014,0.0
205,773,2016,0.0
206,777 Studios,2013,0.125
207,777 Studios,2014,0.0
208,777 Studios,2015,0.0
209,"7Config,BadDoge",2016,0.0
210,7DOTS,2017,0.0
211,7K Games,2016,0.0
212,7TPGames,2016,0.0
213,8-Bit Studio,2017,0.25
214,800 North,2017,0.0
215,800 North and Digital Ranch,2011,0.0
216,800 North and Digital Ranch,2014,0.0
217,800 North and Digital Ranch,2015,0.0
218,8888888 LABS,2013,0.0
219,88mm,2014,0.0
220,89AM Studio,2016,0.0
221,89AM Studio,2017,0.0
222,8D Studio,2015,0.0
223,8Floor,2015,0.0
224,8monkey Labs,2009,0.0
225,8th Floor Games,2013,0.0
226,9 Eyes Game Studio,2017,0.0
227,971 Games,2016,0.0
228,9heads Game Studios,2012,0.5
229,9heads Game Studios,2014,0.0
230,@VincentLTower,2017,0.0
231,@YearOfTheBob,2017,1.0
232,@lukasinspace,2017,0.0
233,@unepic_fran,2014,0.0
234,@unepic_fran,2016,0.0
235,@unepic_fran,2017,0.0
236,"A &amp; B Game Studios, LLC",2016,0.0
237,A Crowd of Monsters,2015,0.0
238,"A Crowd of Monsters,Sonotrigger",2015,0.0
239,A Jolly Corpse,2014,0.0
240,A Maniacal Game LP,2017,0.0
241,"A Sharp, LLC",2015,0.0
242,A Stranger Gravity,2015,0.0
243,A Sweet Studio,2017,0.0
244,A and F studios,2017,0.0
245,"A-Flight,Caipirinha Games",2017,0.0
246,"A. Fruit,Alexey Bokulev,Sergei Klimov,Charlie Oscar Lima Tango Interactive Entertainment",2016,0.0
247,A. Hagen,2016,1.0
248,A.J Starkey Enterprises,2015,0.0
249,A.Lepunov,2017,0.0
250,A.Y.std,2016,0.0
251,A2A Simulations,2015,0.0
252,AA Games,2017,0.0
253,AAAGAMES s.r.o.,2016,0.0
254,AAD Productions,2014,0.0
255,AB SOFT,2017,0.0
256,ACD Systems International Inc.,2012,0.0
257,"ACE Ed-Venture Studio,Artoncode™",2017,0.0
258,ACE MADDOX,2015,0.0
259,ACE MADDOX,2017,0.0
260,ACE Team,2009,0.0
261,ACE Team,2011,0.0
262,ACE Team,2013,0.0
263,ACE Team,2014,0.0
264,ACE Team,2016,0.0
265,ACE Team,2017,0.0
266,ACQUIRE Corp.,2012,0.0
267,ACQUIRE Corp.,2015,0.3333333333333333
268,ACQUIRE Corp.,2016,0.0
269,"ACSourse,Gamieon, Inc.",2016,1.0
270,AECRNIA,2017,0.0
271,AEL Entertainment,2016,0.0
272,AFStudio,2017,0.0
273,AG media,2016,0.0
274,AGC,2015,0.0
275,AGO Games,2015,0.0
276,AGP::Studios,2016,0.0
277,AHA Entertainment,2016,1.0
278,AHEARTFULOFGAMES,2016,0.0
279,AIGRIND,2017,0.6666666666666666
280,AIHASTO,2017,0.0
281,AIVIK LLC,2016,0.0
282,AK Games,2016,0.0
283,AKGames,2015,0.5
284,AL Games,2017,0.0
285,AL-GAME,2016,0.0
286,AL-GAME,2017,0.0
287,ALEKSANDER CHIEPAIKIN,2017,0.0
288,ALICE IN DISSONANCE,2013,0.0
289,ALICE IN DISSONANCE,2015,0.3333333333333333
290,ALICE IN DISSONANCE,2016,0.0
291,ALLM,2017,0.25
292,ALLPlayer Group Ltd.,2014,0.0
293,ALTAR Interactive,2005,0.0
294,"AMA,Mando Productions",2015,0.0
295,AMG GAMES,2017,0.0
296,AMIDEA Games,2016,0.0
297,AMPLITUDE Studios,2012,0.0
298,AMPLITUDE Studios,2014,0.0
299,AMPLITUDE Studios,2015,0.3333333333333333
300,AMPLITUDE Studios,2016,0.0
301,AMPLITUDE Studios,2017,0.875
302,AMS Game Development Association,2016,1.0
303,"AN Productions,Poxpower",2017,1.0
304,ANDORE,2017,0.0
305,ANIM•ACE,2017,0.0
306,ANPA.US,2015,0.0
307,ANPA.US,2016,0.0
308,ANV Team,2017,0.0
309,AOS GAME,2015,0.0
310,APAS games,2015,0.0
311,APGal,2017,0.0
312,APPIDEMIC Studios,2015,0.0
313,APPLEMINT,2017,0.0
314,AQURIA,2017,0.0
315,ARB Studios,2010,0.0
316,"ARC SYSTEM WORKS Co., Ltd.,TOYBOX Inc.",2017,0.5
317,AREA 35,2017,0.0
318,ARES Inc.,2017,0.0
319,ARGames,2017,0.0
320,ARS,2017,0.0
321,ARTDINK,2008,0.0
322,ARTDINK,2015,0.16666666666666666
323,ARTDINK,2016,0.0
324,ARTDINK,2017,0.0
325,ARTIFACTS,2016,0.0
326,ARTIFACTS,2017,0.0
327,ARdigitC,2017,1.0
328,ASC Games,2015,0.0
329,ASGames,2016,0.0
330,ASK Homework,2012,0.0
331,ASTRO PORT,2011,0.5
332,ASTRO PORT,2014,0.0
333,ASTRO PORT,2015,0.0
334,ASTRO PORT,2016,0.0
335,ASTRO PORT,2017,0.0
336,AT The Gate Team,2017,0.0
337,ATTACK MOUNTAIN,2016,0.0
338,ATTACK MOUNTAIN,2017,0.0
339,AV media lab,2015,0.0
340,AVE,2016,0.0
341,AVGames,2016,0.0
342,AVOlight,2017,0.0
343,AVP,2017,0.0
344,AWE Games,2006,0.0
345,AYE Technology,2017,0.0
346,AZ-Art Development Studio,2015,0.0
347,AZAMATIKA,2016,0.0
348,Aardman Animations,2014,0.0
349,Aaron Arcand,2015,0.0
350,Aaron Oldenburg,2015,0.0
351,Aartform,2013,0.0
352,Aartform Games,2014,0.0
353,Aatlantis Code,2016,0.0
354,Abbey Games,2013,0.0
355,Abbey Games,2015,0.0
356,Abbey Games,2016,0.0
357,Abbey Games,2017,0.0
358,Abdulla Hassan Al-Farsi,2016,0.0
359,Abigail Corfman,2017,0.0
360,Abnormal Software,2015,0.0
361,Above and Beyond Technologies,2017,0.0
362,Abraham Carreola,2015,0.0
363,Abrakam SA,2017,0.5
364,Abrupt Games,2015,0.0
365,AbsQual Studio,2016,0.0
366,Absent Moon Studios,2017,0.0
367,Absolut Soft LLC,2016,0.0
368,Absolutist Ltd,2017,1.0
369,Absolutist Ltd.,2009,0.0
370,Absolutist Ltd.,2015,0.0
371,Absolutist Ltd.,2016,0.3333333333333333
372,Absorb Reality,2015,0.0
373,Absorb Reality,2017,0.0
374,Absorbed Studios,2017,1.0
375,Absortalent Games,2017,0.0
376,Abstract Tree Studio,2016,0.0
377,Abstraction Games,2014,0.0
378,"Abstraction Games,The Bitmap Brothers",2013,0.0
379,"Abstraction Games,WayForward",2016,0.0
380,Abstractive Works,2016,0.0
381,Abyss Studios,2015,0.0
382,"Accela,Inc.",2017,0.0
383,"Acceleroto, Inc.",2015,0.0
384,Access Games,2015,0.0
385,Access Software,1989,0.0
386,Access Software,1991,0.0
387,Access Software,1994,0.0
388,Access Software,1996,0.0
389,Access Software,1998,0.0
390,Accidental Queens,2017,0.0
391,Acclaim Cheltenham,1998,0.0
392,Acclaim Studios Teeside,1999,0.0
393,Accolade,1993,0.0
394,"Accolade, Inc",1996,0.0
395,"Accolade, Inc.",1996,0.0
396,"Accolade, Inc.",1999,0.0
397,Acerio Games,2016,0.0
398,Achebit,2015,0.0
399,Achisoft,2017,0.0
400,Achpile,2016,0.0
401,Achpile,2017,0.0
402,Acid Cat,2016,0.0
403,Acid Nerve,2015,0.0
404,Ackmi,2016,0.0
405,"Acme Nerd Games, LLC",2017,0.0
406,AcneVulgaris,2016,0.0
407,"Acoustica, Inc.",2017,0.0
408,Acquire,2012,0.0
409,Acquire,2016,0.0
410,Acquire Corp.,2015,0.0
411,"Acquire,Zerodiv",2016,0.0
412,"Acram Digital,Mobo Studio",2017,0.15384615384615385
413,"Act 3 Games, LLC",2017,0.5
414,ActaLogic,2017,0.0
415,Actalogic,2012,0.0
416,Actalogic,2013,0.0
417,Actalogic,2014,0.0
418,"Action Button Entertainment, LLC",2016,0.0
419,Activision,1993,0.0
420,Activision,1996,0.0
421,Activision,1997,0.0
422,Activision,2000,0.0
423,Actoz Soft,2017,1.0
424,Actual Tools,2016,0.0
425,Acute Games,2017,1.0
426,Acuze Interactives,2017,0.0
427,"Acuze Interactives,Winterbyte",2017,0.0
428,Ad Aspera,2017,0.0
429,Adage Games,2017,0.0
430,Adam DeLease,2015,0.0
431,Adam DeLease,2016,0.0
432,Adam DeLease,2017,0.0
433,Adam Foster,2013,1.0
434,Adam Hebert,2017,0.0
435,Adam John Adkins,2017,0.0
436,"Adam McLellan,Ricardo Chirino",2016,0.0
437,Adam Mowery,2015,0.0
438,"Adam Saltsman,Robin Arnott",2012,0.0
439,Adam Spragg,2014,0.0
440,Adam Tarnowski,2015,0.0
441,Adam Tarnowski,2017,0.0
442,Adam Thompson,2017,0.0
443,Adam Wells,2016,0.0
444,"Adept Studios GD,Alawar Entertainment",2016,0.0
445,Adham Jaber,2016,0.0
446,Adhoc Games,2015,0.3333333333333333
447,Adhoc Games,2016,1.0
448,Aditya Yadav,2017,0.0
449,"Adriaan de Jongh,Sylvain Tegroeg",2017,0.0
450,AdroVGames,2016,0.0
451,Aduge Studio,2016,0.0
452,Advent RPG,2016,0.0
453,"Adventure Mob,Corbomite Games",2016,0.0
454,"Adventure Productions,10th Art Studio",2015,0.0
455,Adventurepro Games LLC,2014,0.0
456,Adventurepro Games LLC,2017,0.0
457,Adventurous Productions,2015,0.0
458,Aegon Games,2015,0.0
459,Aegon Games Ltd,2016,0.0
460,Aegon Games Ltd,2017,0.0
461,Aeon Dream Studios,2016,0.125
462,Aeon Dream Studios,2017,0.0
463,Aeonic Entertainment,2016,0.0
464,Aerilon Studios,2017,0.0
465,Aeroplane Heaven,2015,0.0
466,Aeroplane Heaven,2016,0.0
467,Aerosoft GmbH,2012,0.0
468,Aerosoft GmbH,2013,0.0
469,Aerosoft GmbH,2015,0.0
470,Aerosoft GmbH,2016,0.0
471,Aerosoft GmbH,2017,0.0
472,"Aerosoft GmbH,Stairport Sceneries",2017,0.0
473,"Aerosoft,Caipirinha Games",2017,0.0
474,Aesir Interactive,2016,0.0
475,Aesir Interactive,2017,0.0
476,Aetheric Games,2017,0.0
477,AfroDieter,2017,0.0
478,Afrobeast Games,2016,0.0
479,After Death Team,2017,0.0
480,Afterlife Games,2016,0.0
481,Afterthought LLC,2015,0.0
482,Afterthought Studios,2016,0.0
483,Afterthought Studios,2017,0.0
484,Afterthought Studios,2018,1.0
485,Agar3s,2017,0.0
486,"Agency Principle,Purple Pwny Studios",2017,0.0
487,Ageod,2011,0.0
488,Ageod,2012,0.0
489,Ageod,2013,0.0
490,Ageod,2014,0.0
491,Ageod,2015,0.0
492,"Ageod,HQ",2015,0.0
493,Aggressive Combustion,2017,0.0
494,Aggroblakh,2016,0.0
495,Aggroblakh,2017,0.0
496,Agharta Studio,2013,0.0
497,Aghayeva and Ko s.r.o.,2017,0.0
498,Agrostemma,2016,0.0
499,AirWave Games,2017,0.0
500,Airborne Games,2017,0.0
501,Airship Syndicate,2017,0.0
502,Airtight Games,2010,0.0
503,Airtight Games,2012,0.0
504,Airtight Games,2014,0.0
505,Airwolt,2016,0.0
506,Aist,2016,0.0
507,Aivaras Ivoškus,2016,0.0
508,Aivaras Klimas,2016,0.0
509,Akakiy Petrushkin,2015,0.0
510,Akakiy Petrushkin,2016,0.0
511,Akella,2014,0.0
512,"Akella,.dat",2010,0.0
513,"Akella,.dat",2011,0.0
514,Akimbo Creations,2017,0.0
515,Akonta band,2017,0.0
516,Akumu Games,2016,0.0
517,Akumu Games,2017,0.0
518,AlPixel Games,2015,0.0
519,"AlPixel Games,Luis Diaz,Gustavo Santos,Albert Fernandez,Tice Thomason",2015,1.0
520,Alabeo,2015,0.0
521,Alabeo,2016,0.0
522,Alabeo,2017,0.0
523,Alain Perrin,2017,0.0
524,Alakhaine Specialist Consulting Limited,2017,0.0
525,Alan Edwardes,2014,1.0
526,Alan Edwardes,2017,1.0
527,"Alan Hazelden,Benjamin Davis",2015,0.0
528,"Alan Hazelden,Harry Lee",2014,0.0
529,Alan Zucconi,2015,0.0
530,"Alasdair Beckett-King,Application Systems Heidelberg",2016,0.0
531,Alastair John Jack,2014,0.0
532,Alawar,2007,0.0
533,Alawar,2008,0.0
534,Alawar,2009,0.0
535,Alawar,2010,0.0
536,Alawar,2012,0.0
537,Alawar,2013,0.0
538,Alawar,2014,0.0
539,Alawar,2015,0.0
540,Alawar,2016,0.0
541,Alawar Dreamdale,2013,0.5
542,Alawar Entertainment,2011,0.0
543,Alawar Entertainment,2013,0.0
544,Alawar Entertainment,2014,0.0
545,Alawar Entertainment,2015,0.0
546,Alawar Entertainment,2016,0.0
547,Alawar Entertainment,2017,0.0
548,"Alawar Entertainment,Amegami",2013,0.0
549,"Alawar Entertainment,Toyman Interactive",2013,0.0
550,Alawar Five-BN,2013,0.0
551,Alawar Friday's Games,2014,0.0
552,Alawar Stargaze,2011,0.0
553,Alawar Stargaze,2013,0.0
554,Alawar Stargaze,2016,0.0
555,"Alawar Stargaze,Alawar Entertainment",2015,0.0
556,"Alawar,Mirball Games",2013,0.0
557,"Alawar,Whalebox Studio",2014,0.0
558,Albatros Softworks,2017,0.375
559,Albatross Wirehead,2017,0.0
560,Alberto Santiago,2017,0.0
561,Albin Bernhardsson,2017,0.0
562,Alchemist Studio,2016,0.0
563,AlcoholEnthusiast,2017,0.0
564,Alda Games,2015,0.0
565,Alder Games,2012,0.0
566,Alder Games,2013,0.0
567,Alder Games,2017,0.0
568,Aldorlea Games,2010,0.0
569,Aldorlea Games,2014,0.0
570,Aldorlea Games,2015,0.0
571,Aldorlea Games,2016,0.0
572,Aldorlea Games,2017,0.0
573,"Alec Smith,Dane Winn",2016,0.0
574,Aleksandar Dakic,2017,0.0
575,Aleksandar Kuzmanovic Games,2017,0.0
576,Aleksander Ciesielski,2015,0.0
577,Aleksandr Golovkin,2017,0.0
578,Aleksandr Kotukhov,2017,0.0
579,"Aleksandr Soldatov,Leonid Kozhushko",2017,0.5
580,Alekseev,2016,0.0
581,Alekseev,2017,0.0
582,Aleksey Abramenko,2012,0.0
583,Alessandro Guzzo,2017,0.0
584,Alex Hall,2017,0.0
585,Alex Hanson-White,2016,0.0
586,Alex Jedraszczak,2014,0.0
587,Alex Piola,2015,1.0
588,Alex Williams,2016,1.0
589,Alex Woodcock,2015,0.0
590,Alex Zhang,2015,0.0
591,Alex's Daddy,2017,0.0
592,"Alexander Ahura,Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",2016,0.0
593,Alexander Benedict,2017,0.0
594,Alexander Bruce,2013,0.0
595,Alexander Byzov,2015,0.0
596,Alexander Byzov,2016,0.0
597,Alexander Byzov,2017,0.0
598,Alexander Goodwin,2017,0.0
599,Alexander Kov,2016,0.0
600,Alexander Mirdzveli,2015,0.0
601,Alexander Shvab,2017,0.0
602,Alexander Spillman,2017,0.0
603,Alexandr Kataev,2016,0.0
604,"Alexandr Lavelin,Evgeny Shcherbakov",2016,0.0
605,"Alexandru C.,Vector 7",2017,0.0
606,"Alexey Bokulev,Sergei Klimov,Charlie Oscar Lima Tango Interactive Entertainment",2016,0.0
607,"Alexey Bokulev,Sergei Klimov,Charlie Oscar Lima Tango Interactive Entertainment",2017,0.0
608,"Alexey Bokulev,Snowbird Games",2009,0.0
609,"Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",2015,0.5
610,"Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",2016,0.0
611,Alexey Glinskiy,2016,0.0
612,Alexey Glinskiy,2017,0.0
613,Alexey Kargin,2017,0.0
614,"Alexey Khazov,Cristian Ionescu,Lars van Dorenvanck,Brandon van Doorn,Joran Vergoessen,Admir Leka",2016,0.0
615,Alexey Roenko,2016,0.0
616,Alexey Volonsky,2017,0.0
617,Alfred Lam,2012,0.0
618,Aliasworlds Entertainment,2009,0.0
619,"Aliasworlds,Amegami,Rionix,Melesta",2016,0.0
620,Alice &amp; Smith,2015,0.25
621,Alice &amp; Smith,2016,0.0
622,Alice &amp; Smith,2017,0.5
623,Alien Jellyfish,2017,0.0
624,Alien Mind,2017,0.0
625,Alien Octopus Studio,2013,0.0
626,Alien Pixel Studios,2016,0.5
627,Alien Sync Interactive,2015,0.0
628,Alientrap,2011,0.0
629,Alientrap,2015,0.25
630,Alientrap,2017,0.0
631,AlikArt Studio,2015,0.0
632,Alina Digital,2016,0.5
633,Alina Digital,2017,0.0
634,Alister Software,2015,0.0
635,Alister Software,2016,0.0
636,Alister Software,2017,0.0
637,Alkemi,2017,0.0
638,All Aboard,2009,0.0
639,All Aboard,2010,0.0
640,All Aboard,2012,0.0
641,All Civilized Planets,2015,0.0
642,All Seeing Eye Games,2015,1.0
643,All Seeing Eye Games,2016,0.0
644,All Seeing Eye Games,2017,0.0
645,All Those Moments,2017,0.0
646,"AllSol,Unknown Hero",2017,0.0
647,Allegorithmic,2014,0.0
648,Allegorithmic,2017,0.0
649,"Allegorithmic,The Foundry",2016,1.0
650,Allen Dayan,2016,0.0
651,Allgraf,2013,0.0
652,Allicorn Games,2015,0.0
653,Allied Games Inc.,2016,0.0
654,Allods Team,2017,0.2222222222222222
655,"Allods Team,Mail.Ru Group",2009,1.0
656,Allusio,2016,0.0
657,Almighty Games,2016,0.0
658,Almighty Games,2017,0.0
659,Almost Human Games,2012,0.0
660,Almost Human Games,2014,0.0
661,"Alonzu,@alonzubin",2016,0.0
662,Alp Güleç,2016,0.0
663,Alpha Pack Studios,2017,0.0
664,Alpha Strike Games Limited,2017,0.0
665,Alpha Wave Entertainment,2016,0.0
666,Alpha72 Games,2007,0.0
667,AlphaNuts,2014,1.0
668,Alpheratz*,2016,0.0
669,Alrauna Studios,2015,0.0
670,AltImage Games,2015,0.0
671,Altai Game Studio,2017,0.0
672,Altar Games,2001,0.0
673,Altar Games,2007,0.0
674,Altar Interactive,2003,0.0
675,AlternativaPlatform,2017,0.2857142857142857
676,Alternative Dreams,2016,0.0
677,Alternative Dreams Studios,2016,0.0
678,Alternative Software Ltd,2014,0.0
679,Alternative Software Ltd,2015,0.0
680,Alternative Software Ltd,2016,0.0
681,Alternative Software Ltd,2017,0.0
682,Altfuture,2016,0.0
683,AlyStudio,2017,0.0
684,Alyssium,2017,0.0
685,Alysson Moraes,2017,0.0
686,Amanita Design,2009,0.0
687,Amanita Design,2012,0.0
688,Amanita Design,2016,0.3333333333333333
689,Amanita Design,2017,0.0
690,Amaranth Games,2016,0.0
691,"Amaranth Games, LLC",2014,0.0
692,"Amaranth Games, LLC",2015,0.0
693,"Amaranth Games, LLC",2016,0.0
694,Amaterasu Software,2016,0.0
695,Amaterasu Software,2017,0.14285714285714285
696,Amazastrophic,2017,0.0
697,Amazu Media,2017,0.0
698,AmberTail,2017,0.0
699,Ambiera,2016,0.0
700,Ambiera,2017,0.0
701,Ambiera e.U.,2015,0.3333333333333333
702,Ameet Sharma,2017,0.0
703,Amegami,2016,0.0
704,Americo Mateus Rodrigues,2016,0.0
705,Amethyst Quarter,2015,0.0
706,Ametist studio,2017,0.0
707,"Amidos,Big O",2012,1.0
708,"Amidos,Big O,Bauer",2012,1.0
709,Amilton Neves,2017,0.0
710,Amkonius Games,2017,0.0
711,Amplecti Chao,2017,0.0
712,Amund Farifteh,2015,0.0
713,AnRaEl,2016,0.0
714,Anamik Majumdar,2016,0.0
715,Anarchy Enterprises,2007,0.0
716,Anarchy Enterprises,2015,0.0
717,Anarchy Enterprises,2016,0.0
718,Anarchy Interactive,2015,0.0
719,Anarkis Gaming,2016,0.0
720,Anarteam,2016,0.0
721,"Anatola Howard,Duncan Cross",2017,0.0
722,Anatoliy Loginovskikh,2016,0.0
723,Anatoliy Loginovskikh,2017,0.0
724,Anatoly Konstantinov,2017,0.0
725,Anawiki Games,2016,0.0
726,Anawiki Games,2017,0.0
727,Ancestral Quest,2017,0.0
728,"Anchora Games,Dream Harvesters",2016,1.0
729,Andrade Games,2016,0.0
730,Andras Beck,2016,1.0
731,"Andre Chagas Silva,Anthony Septim",2015,0.5
732,Andreas Ammer,2017,0.0
733,Andreas Britten,2016,0.0
734,Andreil Game,2016,0.0
735,Andrettin,2015,1.0
736,Andrettin,2016,0.0
737,Andrettin,2017,0.0
738,"Andrew ""Versus"" Larionov",2017,0.0
739,Andrew Brady,2016,0.0
740,Andrew Gilmour,2016,0.0
741,Andrew Higgins,2017,0.0
742,Andrew Hulshult,2015,0.0
743,Andrew Morrish,2013,0.0
744,Andrew Morrish,2017,0.0
745,Andrew Rodenhiser,2017,1.0
746,Andrew Rowe,2015,0.0
747,Andrew Rowe,2017,0.0
